        Computer Science,,,            Physics,,        Mathematics,,         Statistics,,Quantitative Biology,,Quantitative Finance,,,
,bigram,count,bigram,count,bigram,count,bigram,count,bigram,count,bigram,count,,
,"('JJ', 'NN')",0.050211124,"('JJ', 'NN')",0.053612223,"('IN', 'DT')",0.048912547,"('JJ', 'NN')",0.052726496,"('JJ', 'NN')",0.053862206,"('JJ', 'NN')",0.053239437,,
,"('NN', 'IN')",0.044105069,"('IN', 'DT')",0.051187894,"('JJ', 'NN')",0.045663147,"('NN', 'IN')",0.044325039,"('NN', 'IN')",0.047413793,"('NN', 'IN')",0.051498079,,
,"('DT', 'NN')",0.043867129,"('NN', 'IN')",0.047440071,"('NN', 'IN')",0.044136743,"('DT', 'NN')",0.04219144,"('IN', 'DT')",0.041897578,"('DT', 'NN')",0.05021767,,
,"('IN', 'DT')",0.041420849,"('DT', 'NN')",0.041185089,"('DT', 'NN')",0.041192874,"('IN', 'DT')",0.042150032,"('DT', 'NN')",0.040084496,"('IN', 'DT')",0.048143406,,
,"('DT', 'JJ')",0.032573983,"('DT', 'JJ')",0.038183624,"('DT', 'JJ')",0.037006846,"('DT', 'JJ')",0.034252009,"('JJ', 'NNS')",0.034508415,"('DT', 'JJ')",0.037490397,,
,"('NN', 'NN')",0.030409373,"('NN', 'NN')",0.029792881,"('JJ', 'NNS')",0.02392535,"('NN', 'NN')",0.02964047,"('DT', 'JJ')",0.032857827,"('NN', 'NN')",0.034110115,,
,"('JJ', 'NNS')",0.027174675,"('JJ', 'NNS')",0.027091563,"('NNS', 'IN')",0.0229186,"('JJ', 'NNS')",0.029013902,"('IN', 'JJ')",0.027213328,"('JJ', 'NNS')",0.025761844,,
,"('NNS', 'IN')",0.021977937,"('NNS', 'IN')",0.023200346,"('NN', 'NN')",0.02103783,"('IN', 'JJ')",0.023130703,"('NN', 'NN')",0.026913998,"('NNS', 'IN')",0.024046095,,
,"('IN', 'JJ')",0.021882761,"('IN', 'JJ')",0.022663288,"('IN', 'JJ')",0.019808191,"('NNS', 'IN')",0.022520481,"('NNS', 'IN')",0.025271962,"('IN', 'JJ')",0.021485275,,
,"('NN', '.')",0.016891166,"('NN', '.')",0.015583571,"('NN', '.')",0.013673775,"('NN', 'NNS')",0.016880281,"('IN', 'NN')",0.018772236,"('NN', 'NNS')",0.019539053,,
,,,,,,,,,,,,,,
        Computer Science,,,            Physics,,        Mathematics,,         Statistics,,Quantitative Biology,,Quantitative Finance,,,
,trigram,count,trigram,count,trigram,count,trigram,count,trigram,count,trigram,count,,
,"('DT', 'JJ', 'NN')",0.022293061,"('DT', 'JJ', 'NN')",0.025048451,"('DT', 'JJ', 'NN')",0.023289273,"('DT', 'JJ', 'NN')",0.023135087,"('DT', 'JJ', 'NN')",0.022364381,"('DT', 'JJ', 'NN')",0.025890548,,
,"('IN', 'DT', 'NN')",0.01936897,"('IN', 'DT', 'NN')",0.02050528,"('IN', 'DT', 'NN')",0.020454341,"('IN', 'DT', 'NN')",0.019055309,"('IN', 'DT', 'NN')",0.019080281,"('IN', 'DT', 'NN')",0.02294553,,
,"('DT', 'NN', 'IN')",0.016076393,"('NN', 'IN', 'DT')",0.020016317,"('NN', 'IN', 'DT')",0.018246749,"('DT', 'NN', 'IN')",0.015803691,"('DT', 'NN', 'IN')",0.017275736,"('NN', 'IN', 'DT')",0.020333427,,
,"('NN', 'IN', 'DT')",0.014674475,"('IN', 'DT', 'JJ')",0.018538739,"('IN', 'DT', 'JJ')",0.017492938,"('NN', 'IN', 'DT')",0.015295898,"('NN', 'IN', 'DT')",0.01553961,"('DT', 'NN', 'IN')",0.019309073,,
,"('IN', 'DT', 'JJ')",0.013129794,"('DT', 'NN', 'IN')",0.016250677,"('DT', 'NN', 'IN')",0.017025875,"('IN', 'DT', 'JJ')",0.014017699,"('JJ', 'NN', 'IN')",0.014906737,"('IN', 'DT', 'JJ')",0.015877487,,
,"('JJ', 'NN', 'IN')",0.01291822,"('JJ', 'NN', 'IN')",0.014985073,"('JJ', 'NN', 'IN')",0.013775219,"('JJ', 'NN', 'IN')",0.013849887,"('IN', 'DT', 'JJ')",0.014222549,"('JJ', 'NN', 'IN')",0.015416528,,
,"('JJ', 'NN', 'NN')",0.00969381,"('JJ', 'NN', 'NN')",0.009749872,"('JJ', 'NNS', 'IN')",0.008836626,"('JJ', 'NN', 'NN')",0.010125346,"('NN', 'IN', 'JJ')",0.011195019,"('JJ', 'NN', 'NN')",0.010883761,,
,"('NN', 'IN', 'JJ')",0.009013429,"('NN', 'IN', 'JJ')",0.009378474,"('NNS', 'IN', 'DT')",0.008636277,"('NN', 'IN', 'JJ')",0.009233985,"('IN', 'JJ', 'NNS')",0.01087003,"('DT', 'NN', 'NN')",0.00957771,,
,"('IN', 'JJ', 'NNS')",0.00829768,"('JJ', 'NNS', 'IN')",0.008932261,"('NN', 'IN', 'JJ')",0.008141667,"('IN', 'JJ', 'NNS')",0.00869786,"('JJ', 'NNS', 'IN')",0.010151633,"('NN', 'IN', 'JJ')",0.009167968,,
