bigram,count
"('JJ', 'NN')",0.05361222317718887
"('IN', 'DT')",0.051187894387616506
"('NN', 'IN')",0.04744007089514021
"('DT', 'NN')",0.04118508886385194
"('DT', 'JJ')",0.03818362375699711
"('NN', 'NN')",0.029792881094777717
"('JJ', 'NNS')",0.02709156249860837
"('NNS', 'IN')",0.023200345569276398
"('IN', 'JJ')",0.02266328816291632
"('NN', '.')",0.015583571209091679
"('NN', 'NNS')",0.0153448790284872
"('IN', 'NN')",0.013788926642233376
"('NN', ',')",0.013551125104093838
"('JJ', 'JJ')",0.01349234270140766
"('VBN', 'IN')",0.012678295488450593
"('NNS', '.')",0.01096826195576179
"('NN', 'VBZ')",0.010480189884973526
"('PRP', 'VBP')",0.010169355664708737
"('.', 'DT')",0.010016165160738699
"('NNP', 'NN')",0.008903752722026034
"('NN', 'CC')",0.008693561100299702
"('TO', 'VB')",0.00850919811005669
"('NNS', ',')",0.007680009975195607
"('DT', 'NNP')",0.007443099079521012
"('.', 'PRP')",0.007324643631683715
"('NNP', 'NNP')",0.006797383292438
"('VBP', 'DT')",0.006758195023980548
"('NNS', 'VBP')",0.00665220857065244
"('DT', 'NNS')",0.0065836291008518994
"('IN', 'NNP')",0.0062104499080411655
"('IN', 'NNS')",0.006162355214934293
"('CC', 'JJ')",0.005697439848234524
"('VB', 'DT')",0.005649345155127651
"('.', 'IN')",0.005598578534625953
"('(', 'NNP')",0.005415996829312825
"('NNP', ')')",0.005380371130715141
"('VBZ', 'VBN')",0.005211149062376145
"('VBZ', 'DT')",0.0052093677774462605
"('VBG', 'DT')",0.004890517774996994
"('IN', 'VBG')",0.004737327271026956
"('MD', 'VB')",0.004723967634052824
"('JJ', 'NNP')",0.004707045427218924
"('NN', 'TO')",0.004507541515071897
"('NNP', '(')",0.004498635090422476
"('TO', 'DT')",0.004489728665773056
"('RB', 'JJ')",0.004478150313728808
"('NNS', 'CC')",0.004461228106894909
"(',', 'CC')",0.004398883134348963
"(',', 'DT')",0.0042670680495375335
"('$', 'NNP')",0.004259942909817997
"('CC', 'NN')",0.0041735505907186145
"(',', 'PRP')",0.003907248493700931
"('JJ', 'IN')",0.0038840917896124367
"('IN', 'CD')",0.0038653882978486533
"('VBP', 'IN')",0.003822637459531433
"('RB', 'VBN')",0.0037718708390297342
"('JJ', '$')",0.0037620737719153714
"('$', 'JJ')",0.0037211042185280353
"('VBP', 'VBN')",0.0036649937432366836
"(',', 'IN')",0.003656087318587263
"('NNP', '$')",0.0035091313118718187
"('CC', 'DT')",0.003508240669406877
"('NNP', 'NNS')",0.0034833026803884983
"('NN', '(')",0.003388003936639695
"(')', '$')",0.0031252644094817796
"('$', 'CD')",0.003085185498559386
"('VBN', 'TO')",0.0030486691574967604
"('NN', ')')",0.0030335282355927447
"('RB', ',')",0.003017496671223787
"('.', 'RB')",0.0029979025369950615
"('VBP', 'JJ')",0.002991668039740467
"('RB', 'IN')",0.002942682704168652
"('VBZ', 'RB')",0.0029052757206410843
"('NN', 'JJ')",0.0028972599384566055
"(',', 'JJ')",0.0028126489042871075
"('VBG', 'JJ')",0.0027618822837854086
"('NNP', ',')",0.0027226940153279567
"('VBZ', 'JJ')",0.002721803372863015
"('VBG', 'NN')",0.002693302813984868
"('CD', 'NN')",0.002691521529054984
"('JJ', 'CC')",0.002640754908553285
"('VB', 'JJ')",0.002622051416789501
"('JJ', 'TO')",0.0025534719469889606
"('CD', ')')",0.0025035959689522036
"('(', 'CD')",0.002434125856686721
"('VB', 'VBN')",0.002392265660834443
"('.', 'NNP')",0.0023815779512551378
"('VBZ', 'IN')",0.0023129984814545972
"(',', 'VBG')",0.0022925137047609292
"('NN', 'VBN')",0.0022755914979270295
"('PRP$', 'NN')",0.0022533254363034773
"('WDT', 'VBZ')",0.0022301687322149833
"('NN', 'VBG')",0.0021704956870638634
"('VBG', 'IN')",0.002125963563816759
"('CD', 'NNS')",0.0021001349323334388
"('VBP', 'RB')",0.0020653998762006974
"('NNP', '.')",0.002052930881691508
"('IN', '$')",0.002020867752953593
"('NNS', 'VBN')",0.002009289400909346
"('(', 'NN')",0.001988804624215678
