trigram,count
"('DT', 'JJ', 'NN')",0.02504845099324536
"('IN', 'DT', 'NN')",0.02050527973323453
"('NN', 'IN', 'DT')",0.020016316584489983
"('IN', 'DT', 'JJ')",0.018538739419158092
"('DT', 'NN', 'IN')",0.01625067688887622
"('JJ', 'NN', 'IN')",0.014985072818992789
"('JJ', 'NN', 'NN')",0.009749871747370822
"('NN', 'IN', 'JJ')",0.009378473508706929
"('JJ', 'NNS', 'IN')",0.008932261236355345
"('NNS', 'IN', 'DT')",0.00893137059309716
"('DT', 'NN', 'NN')",0.008616973522957221
"('IN', 'JJ', 'NNS')",0.008128010374212671
"('IN', 'JJ', 'NN')",0.007969475874255422
"('JJ', 'JJ', 'NN')",0.006919407472853194
"('NN', 'NN', 'IN')",0.006624604554393365
"('VBN', 'IN', 'DT')",0.005998482343888049
"('NN', 'IN', 'NN')",0.005867557784934591
"('JJ', 'NN', 'NNS')",0.005774040242824978
"('JJ', 'NN', '.')",0.005214716276683672
"('NNS', 'IN', 'JJ')",0.005205809844101804
"('.', 'PRP', 'VBP')",0.005180871832872574
"('DT', 'JJ', 'JJ')",0.0048789437683472514
"('JJ', 'NNS', '.')",0.004735550203779177
"('IN', 'DT', 'NNP')",0.00468478353806253
"('PRP', 'VBP', 'DT')",0.004604625644825719
"('NN', '.', 'DT')",0.004563656054949126
"('(', 'NNP', ')')",0.0043899806196027015
"('JJ', 'JJ', 'NNS')",0.004377511613988087
"('NN', 'NN', '.')",0.0040933964146265
"('.', 'DT', 'NN')",0.003980284720836777
"('JJ', 'NN', ',')",0.0039143771197309545
"('NN', 'NNS', 'IN')",0.0039019081141163396
"('DT', 'JJ', 'NNS')",0.0038386724427850773
"('NN', 'NN', 'NN')",0.0037291233220281017
"('DT', 'NNP', 'NN')",0.003392460170433494
"('IN', 'JJ', 'JJ')",0.003347928007524154
"('.', 'DT', 'JJ')",0.003249957249123607
"('NN', '.', 'PRP')",0.0032339256704762447
"('TO', 'VB', 'DT')",0.003184940291275971
"('NN', 'NN', ',')",0.0031145794738792146
"('DT', 'NN', 'VBZ')",0.003111016900846467
"('JJ', 'NNS', ',')",0.0030504531592897653
"('NNS', 'IN', 'NN')",0.0030379841536751504
"('IN', 'DT', 'NNS')",0.0030228432182859747
"('NN', 'VBZ', 'VBN')",0.0030077022828967994
"(',', 'PRP', 'VBP')",0.002956935617180152
"('NNS', '.', 'DT')",0.0029489198278564712
"('.', 'IN', 'DT')",0.0029382321087582297
"('NN', 'NNS', '.')",0.0028776683672015278
"('VBP', 'DT', 'NN')",0.0028064169065465843
"('NN', 'CC', 'NN')",0.0027627753868954314
"('NN', 'IN', 'NNS')",0.0027529783110553764
"('VBP', 'DT', 'JJ')",0.002720915153760652
"('JJ', 'NN', 'VBZ')",0.0027146806509533447
"('$', 'JJ', '$')",0.002627397611651039
"('IN', 'NN', 'NN')",0.0026149286060364236
"('NN', 'IN', 'NNP')",0.002608694103229116
"('VBZ', 'DT', 'JJ')",0.002566833870094337
"('DT', 'NNS', 'IN')",0.0024991449824721406
"('IN', 'NNS', 'IN')",0.002484894690341152
"('JJ', 'NN', 'CC')",0.002447487673497307
"('VBZ', 'VBN', 'IN')",0.00242433094878445
"('NN', '.', 'IN')",0.002411861943169835
"('NNS', '.', 'PRP')",0.002398502294297033
"('VBN', 'IN', 'JJ')",0.002394049078006099
"('VB', 'DT', 'NN')",0.0023495169150967595
"('CC', 'JJ', 'NN')",0.0023272508336420897
"('IN', 'NN', 'IN')",0.0022969689628637388
"('NN', 'NN', 'VBZ')",0.0022889531735400576
"('IN', 'NN', 'NNS')",0.0022755935246672556
"('VB', 'DT', 'JJ')",0.002253327443212586
"('NN', 'TO', 'VB')",0.002200779490979565
"('.', 'RB', ',')",0.002179404052783082
"('DT', 'NN', ',')",0.0021749508364921483
"('PRP', 'VBP', 'IN')",0.002158919257844786
"('NN', 'VBZ', 'DT')",0.002127746743808248
"('JJ', 'NNS', 'VBP')",0.002119730954484567
"('CC', 'JJ', 'NNS')",0.00209390229999715
"('(', 'CD', ')')",0.0020832145808989083
"('NNP', 'NNP', 'NNP')",0.0020778707213497875
"('NNP', '(', 'NNP')",0.00204669820731325
"('NN', 'NNS', ',')",0.002044916920796876
"('NNS', 'VBP', 'VBN')",0.0019451648758799555
"('VBP', 'IN', 'DT')",0.0019371490865562745
"('NN', 'NN', 'NNS')",0.001922008151167099
"('JJ', 'CC', 'JJ')",0.0019184455781343518
"('VBG', 'DT', 'NN')",0.0019157736483597914
"('VBG', 'DT', 'JJ')",0.0019122110753270441
"('NN', 'NN', 'CC')",0.0018846011343232535
"('NN', ',', 'CC')",0.0018721321287086385
"('VBZ', 'DT', 'NN')",0.001856991193319463
"('NN', '(', 'NNP')",0.0018507566905121555
"('VBN', 'TO', 'VB')",0.0018329438253484197
"('DT', 'JJ', 'NNP')",0.0018133496736683103
"('NNS', '.', 'IN')",0.0018062245276028158
"('$', 'NNP', '$')",0.0018008806680536952
"('MD', 'VB', 'VBN')",0.0017999900247955083
"('NN', ',', 'DT')",0.0017901929489554536
"('NN', 'IN', 'VBG')",0.0017786145865990252
"('TO', 'DT', 'NN')",0.0017714894405335309
